2013-04-22 09:48:11,405 - INFO  [main:HedwigHubTestBase1@158] - STARTING null
2013-04-22 09:48:11,432 - INFO  [main:PortAssignment@32] - assigning port 11221
2013-04-22 09:48:12,029 - INFO  [main:ClientBase@388] - STARTING server
2013-04-22 09:48:12,039 - INFO  [main:Environment@98] - Server environment:zookeeper.version=3.4.3-1240972, built on 02/06/2012 10:48 GMT
2013-04-22 09:48:12,039 - INFO  [main:Environment@98] - Server environment:host.name=ly-PC
2013-04-22 09:48:12,039 - INFO  [main:Environment@98] - Server environment:java.version=1.7.0_01
2013-04-22 09:48:12,039 - INFO  [main:Environment@98] - Server environment:java.vendor=Oracle Corporation
2013-04-22 09:48:12,040 - INFO  [main:Environment@98] - Server environment:java.home=D:\Program Files (x86)\Java\jdk1.7.0_01\jre
2013-04-22 09:48:12,040 - INFO  [main:Environment@98] - Server environment:java.class.path=C:\Users\ly\Git\msgbus\hedwig-server\target\test-classes;C:\Users\ly\Git\msgbus\hedwig-server\target\classes;C:\Users\ly\Git\msgbus\hedwig-protocol\target\classes;C:\Users\ly\Git\msgbus\hedwig-protocol\target\test-classes;F:\cloud compute\maven\repository\com\google\protobuf\protobuf-java\2.4.1\protobuf-java-2.4.1.jar;F:\cloud compute\maven\repository\junit\junit\4.8.1\junit-4.8.1.jar;F:\cloud compute\maven\repository\org\slf4j\slf4j-api\1.6.4\slf4j-api-1.6.4.jar;F:\cloud compute\maven\repository\org\slf4j\slf4j-log4j12\1.6.4\slf4j-log4j12-1.6.4.jar;F:\cloud compute\maven\repository\log4j\log4j\1.2.16\log4j-1.2.16.jar;C:\Users\ly\Git\msgbus\hedwig-client\target\classes;F:\cloud compute\maven\repository\org\jboss\netty\netty\3.2.4.Final\netty-3.2.4.Final.jar;F:\cloud compute\maven\repository\commons-configuration\commons-configuration\1.6\commons-configuration-1.6.jar;F:\cloud compute\maven\repository\commons-collections\commons-collections\3.2.1\commons-collections-3.2.1.jar;F:\cloud compute\maven\repository\commons-lang\commons-lang\2.4\commons-lang-2.4.jar;F:\cloud compute\maven\repository\commons-digester\commons-digester\1.8\commons-digester-1.8.jar;F:\cloud compute\maven\repository\commons-beanutils\commons-beanutils\1.7.0\commons-beanutils-1.7.0.jar;F:\cloud compute\maven\repository\commons-beanutils\commons-beanutils-core\1.8.0\commons-beanutils-core-1.8.0.jar;F:\cloud compute\maven\repository\org\apache\zookeeper\zookeeper\3.4.3\zookeeper-3.4.3.jar;F:\cloud compute\maven\repository\org\apache\derby\derby\10.8.2.2\derby-10.8.2.2.jar;F:\cloud compute\maven\repository\org\apache\zookeeper\zookeeper\3.4.3\zookeeper-3.4.3-tests.jar;F:\cloud compute\maven\repository\org\apache\bookkeeper\bookkeeper-server\4.2.1\bookkeeper-server-4.2.1.jar;F:\cloud compute\maven\repository\com\google\guava\guava\13.0.1\guava-13.0.1.jar;F:\cloud compute\maven\repository\commons-cli\commons-cli\1.2\commons-cli-1.2.jar;F:\cloud compute\maven\repository\commons-codec\commons-codec\1.6\commons-codec-1.6.jar;F:\cloud compute\maven\repository\commons-io\commons-io\2.1\commons-io-2.1.jar;F:\cloud compute\maven\repository\org\apache\bookkeeper\bookkeeper-server\4.2.1\bookkeeper-server-4.2.1-tests.jar;F:\cloud compute\maven\repository\log4j\log4j\1.2.15\log4j-1.2.15.jar;F:\cloud compute\maven\repository\jline\jline\0.9.94\jline-0.9.94.jar;F:\cloud compute\workspace\bookkeeper\compat-deps\hedwig-server-compat-4.1.0\target\classes;F:\cloud compute\workspace\bookkeeper\compat-deps\hedwig-server-compat-4.0.0\target\classes;C:\Users\ly\Git\msgbus\msgbus-mq\target\classes;F:\cloud compute\maven\repository\com\netflix\curator\curator-client\1.2.3\curator-client-1.2.3.jar;F:\cloud compute\maven\repository\com\netflix\curator\curator-framework\1.2.3\curator-framework-1.2.3.jar;F:\cloud compute\maven\repository\com\netflix\curator\curator-recipes\1.2.3\curator-recipes-1.2.3.jar;F:\cloud compute\maven\repository\com\netflix\curator\curator-test\1.2.3\curator-test-1.2.3.jar;F:\cloud compute\maven\repository\org\javassist\javassist\3.15.0-GA\javassist-3.15.0-GA.jar;F:\cloud compute\maven\repository\org\apache\commons\commons-math\2.2\commons-math-2.2.jar;F:\cloud compute\maven\repository\commons-logging\commons-logging\1.1.1\commons-logging-1.1.1.jar;F:\cloud compute\maven\repository\org\hamcrest\hamcrest-all\1.3\hamcrest-all-1.3.jar;/F:/cloud compute/eclipse/configuration/org.eclipse.osgi/bundles/207/1/.cp/;/F:/cloud compute/eclipse/configuration/org.eclipse.osgi/bundles/206/1/.cp/
2013-04-22 09:48:12,040 - INFO  [main:Environment@98] - Server environment:java.library.path=D:\Program Files (x86)\Java\jdk1.7.0_01\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:/Program Files (x86)/Java/jre7/bin/client;D:/Program Files (x86)/Java/jre7/bin;D:/Program Files (x86)/Java/jre7/lib/i386;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;D:\Program Files (x86)\Git\cmd;D:\Program Files\TortoiseGit\bin;D:\Program Files (x86)\Rational\common;D:\Program Files\TortoiseSVN\bin;D:\Program Files (x86)\Java\jdk1.7.0_01\bin;F:\cloud compute\maven\apache-maven-3.0.4\bin;D:\Program Files (x86)\Git\bin;F:\cloud compute\eclipse;;.
2013-04-22 09:48:12,041 - INFO  [main:Environment@98] - Server environment:java.io.tmpdir=C:\Users\ly\AppData\Local\Temp\
